ticker,company_name,close,price_change_pct,volume,exchange
TZA,Direxion Small Cap Bear 3X Shares,6.8,-0.29,197548776,NYSE Arca
NVDA,NVIDIA Corporation,184.97,1.41,134570682,Nasdaq Global Select
NIO,NIO Inc. American depositary shares each representing one Class A,5.632,7.07,124864845,New York Stock Exchange
USO,United States Oil Fund,105.955,-1.1,123479969,NYSE Arca
AAL,American Airlines Group Inc.,11.2199,-1.49,102969750,Nasdaq Global Select
TQQQ,ProShares UltraPro QQQ,49.37,-0.1,101553186,NASDAQ Global Market
SOXL,Direxion Daily Semiconductor Bull 3x Shares,54.895,2.88,87941916,NYSE Arca
XLE,SPDR Select Sector Fund - Energy Select Sector,55.605,-0.8,78030044,NYSE Arca
INTC,Intel Corporation,46.925,3.27,68587911,Nasdaq Global Select
SPY,SPDR S&P 500,677.19,-0.08,64807094,NYSE Arca
LQD,iShares iBoxx $ Investment Grade Corporate Bond,110.245,-0.14,61274208,NYSE Arca
SQQQ,ProShares UltraPro Short QQQ,70.6845,0.13,58523374,NASDAQ Global Market
PLUG,Plug Power Inc.,2.155,-1.82,56736370,NASDAQ Capital Market
XLF,SPDR Select Sector Fund - Financial,50.155,-0.35,56643610,NYSE Arca
NOK,Nokia Corporation Sponsored American Depositary Shares,7.82,-1.94,54564473,New York Stock Exchange
QQQ,Invesco QQQ Trust Series 1,608.06,0.04,53043025,NASDAQ Global Market
TSLA,Tesla Inc.,399.47,-0.64,52705023,Nasdaq Global Select
HYG,iShares iBoxx $ High Yield Corporate Bond,80.205,0.19,51546023,NYSE Arca
SCO,ProShares UltraShort Bloomberg Crude Oil,10.19,-0.29,48210500,NYSE Arca
IWM,iShares Russell 2000,254.32,0.54,46167837,NYSE Arca
SNAP,Snap Inc. Class A,4.91,-4.66,45868844,New York Stock Exchange
BBD,Banco Bradesco Sa American Depositary Shares,3.875,1.97,44499222,New York Stock Exchange
EEM,iShares MSCI Emerging Index Fund,58.98,0.55,44193759,NYSE Arca
UCO,ProShares Ultra Bloomberg Crude Oil,34.31,0.35,40993357,NYSE Arca
DNN,Denison Mines Corp (Canada),4.06,5.45,40061830,NYSE American
F,Ford Motor Company,12.35,1.31,38532547,New York Stock Exchange
WIT,Wipro Limited,2.535,9.27,36751632,New York Stock Exchange
MARA,Marathon Patent Group Inc.,8.67,-0.34,36344758,NASDAQ Capital Market
TLT,iShares 20+ Year Treasury Bond ETF,88.355,-0.5,36299637,NASDAQ Global Market
SLV,iShares Silver Trust,80.0445,-1.05,33740670,NYSE Arca
EFA,iShares MSCI EAFE,99.51,-0.23,33399535,NYSE Arca
BEAT,BioTelemetry Inc.,1.375,-14.06,31598764,Nasdaq Global Select
PFE,Pfizer Inc.,27.215,1.47,31375737,New York Stock Exchange
RIG,Transocean Ltd (Switzerland),6.185,0.57,30874947,New York Stock Exchange
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),8.535,2.22,30829292,New York Stock Exchange
IGV,iShares Expanded Tech-Software Sector,85.76,-2.31,30547063,Cboe Global Markets EDGX
FXI,iShares China Large-Cap,36.6865,0.4,30161200,NYSE Arca
JBLU,JetBlue Airways Corporation,4.435,-0.36,29071769,Nasdaq Global Select
BAC,Bank of America Corporation,48.845,1.17,28981506,New York Stock Exchange
PBR,Petroleo Brasileiro S.A.- Petrobras,18.005,0.53,28835744,New York Stock Exchange
IEFA,iShares Core MSCI EAFE,92.9323,-0.16,28731056,Cboe Global Markets EDGX
NFLX,Netflix Inc.,96.66,-1.17,28549931,Nasdaq Global Select
MU,Micron Technology Inc.,407.01,3.3,27722593,Nasdaq Global Select
ORCL,Oracle Corporation,150.84,-1.81,27687472,New York Stock Exchange
EWY,iShares Inc MSCI South Korea,132.32,0.02,27437866,NYSE Arca
CCL,Carnival Corporation,26.245,1.33,26936582,New York Stock Exchange
HPE,Hewlett Packard Enterprise Company,21.26,-3.45,26492602,New York Stock Exchange
RWM,ProShares Short Russell2000,15.967,-0.21,26454845,NYSE Arca
AMC,AMC Entertainment Holdings Inc. Class A,1.11,-0.89,25572003,New York Stock Exchange
SH,ProShares Short S&P500,36.6,0.0,25435735,NYSE Arca
BTE,Baytex Energy Corp,3.985,1.66,25047579,New York Stock Exchange
AMZN,Amazon.com Inc.,214.265,0.07,24315449,Nasdaq Global Select
EWZ,iShares Inc MSCI Brazil,37.715,1.69,23503486,NYSE Arca
SCHD,Schwab US Dividend Equity,30.96,0.03,23436791,NYSE Arca
KOS,Kosmos Energy Ltd. (DE),2.39,-2.45,23397926,New York Stock Exchange
T,AT&T Inc.,27.711,0.22,23219548,New York Stock Exchange
KRE,SPDR S&P Regional Banking,65.075,0.47,22702516,NYSE Arca
VEA,Vanguard FTSE Developed Markets,65.9861,-0.5,22309851,NYSE Arca
LYG,Lloyds Banking Group Plc American Depositary Shares,5.375,0.09,22242308,New York Stock Exchange
AMD,Advanced Micro Devices Inc.,203.59,0.53,21630062,Nasdaq Global Select
XLU,SPDR Select Sector Fund - Utilities,46.605,-0.08,21563881,NYSE Arca
MSFT,Microsoft Corporation,404.01,-1.47,21370316,Nasdaq Global Select
SCHG,Schwab U.S. Large-Cap Growth,30.84,-0.19,21074848,NYSE Arca
BTG,B2Gold Corp (Canada),5.3799,0.18,21031614,NYSE American
XLK,SPDR Select Sector Fund - Technology,139.71,-0.09,20756585,NYSE Arca
BKLN,Invesco Senior Loan,20.515,0.07,20648713,NYSE Arca
SCHX,Schwab U.S. Large-Cap,26.72,0.0,20591091,NYSE Arca
SAN,Banco Santander S.A. Sponsored ADR (Spain),11.505,0.04,20336249,New York Stock Exchange
VG,Vonage Holdings Corp.,11.34,1.43,20315925,New York Stock Exchange
OPTT,Ocean Power Technologies Inc.,0.5178,28.93,20198584,NASDAQ Capital Market
OXY,Occidental Petroleum Corporation,53.28,0.06,19996298,New York Stock Exchange
MRVL,Marvell Technology Group Ltd.,93.23,0.66,19994101,Nasdaq Global Select
AVGO,Broadcom Inc.,341.96,-1.88,19954295,Nasdaq Global Select
VALE,VALE S.A. American Depositary Shares Each Representing one,15.57,0.52,19563361,New York Stock Exchange
IJH,iShares Core S&P Mid-Cap,68.96,0.19,18893618,NYSE Arca
CVE,Cenovus Energy Inc,22.46,-1.49,17942077,New York Stock Exchange
GERN,Geron Corporation,1.595,-1.54,17821304,Nasdaq Global Select
UAMY,United States Antimony Corporation,11.125,16.37,17678227,NYSE American
AAPL,Apple Inc.,261.36,1.42,17430102,Nasdaq Global Select
NOW,ServiceNow Inc.,116.555,-3.67,17306034,New York Stock Exchange
NFE,New Fortress Energy LLC,1.075,-4.87,17155502,Nasdaq Global Select
KSS,Kohl's Corporation,14.56,1.29,16975105,New York Stock Exchange
XLB,Materials Select Sector SPDR,49.97,-0.04,16974489,NYSE Arca
DAL,Delta Air Lines Inc.,60.04,-0.02,16723917,New York Stock Exchange
IEMG,iShares Core MSCI Emerging Markets,72.5,0.55,16718977,NYSE Arca
UAA,Under Armour Inc. Class A,6.6799,3.56,16398626,New York Stock Exchange
ABEV,Ambev S.A. American Depositary Shares (Each representing 1),3.0366,1.56,16373363,New York Stock Exchange
RSP,Invesco S&P 500 Equal Weight,197.769,-0.34,16267672,NYSE Arca
NVO,Novo Nordisk A/S,38.778,-1.04,16262748,New York Stock Exchange
NCLH,Norwegian Cruise Line Holdings Ltd.,20.48,0.99,16128314,New York Stock Exchange
XLP,SPDR Select Sector Fund - Consumer Staples,85.79,0.12,15544982,NYSE Arca
XLV,SPDR Select Sector Fund - Health Care,153.27,-0.74,15522148,NYSE Arca
GOOGL,Alphabet Inc.,307.52,0.22,15377318,Nasdaq Global Select
TNA,Direxion Small Cap Bull 3X Shares,47.66,0.43,15337435,NYSE Arca
WTI,W&T Offshore Inc.,2.705,-10.13,15255606,New York Stock Exchange
HBAN,Huntington Bancshares Incorporated,16.11,-0.49,15128781,Nasdaq Global Select
XLI,SPDR Select Sector Fund - Industrial,170.48,-0.11,15058070,NYSE Arca
MSTR,MicroStrategy Incorporated,139.565,-1.6,14969892,Nasdaq Global Select
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,83.635,-0.17,14673664,NASDAQ Global Market
GDX,VanEck Vectors Gold Miners,103.7,-0.35,14191280,NYSE Arca
XOM,Exxon Mobil Corporation,147.98,-0.85,14168749,New York Stock Exchange
SCHF,Schwab International Equity,25.46,-0.31,14007858,NYSE Arca
AG,First Majestic Silver Corp. (Canada),26.6,-1.23,13824934,New York Stock Exchange
BP,BP p.l.c.,39.865,-1.32,13756691,New York Stock Exchange
UNG,United States Natural Gas Fund LP,12.265,0.62,13718941,NYSE Arca
SLB,Schlumberger N.V.,48.22,2.32,13668430,New York Stock Exchange
GLW,Corning Incorporated,136.62,3.49,13640339,New York Stock Exchange
VZ,Verizon Communications Inc.,50.555,0.49,13513416,New York Stock Exchange
WMT,Walmart Inc.,124.9001,0.56,13409751,New York Stock Exchange
HAL,Halliburton Company,35.195,2.04,13323723,New York Stock Exchange
WFC,Wells Fargo & Company,78.48,-0.6,13317042,New York Stock Exchange
BOIL,ProShares Ultra Bloomberg Natural Gas,18.1207,0.67,13284941,NYSE Arca
RIOT,Riot Blockchain Inc,14.74,-0.57,13269333,NASDAQ Capital Market
INFY,Infosys Limited American Depositary Shares,14.075,-1.16,13119877,New York Stock Exchange
UEC,Uranium Energy Corp.,14.765,5.99,13097154,NYSE American
PYPL,PayPal Holdings Inc.,44.97,-1.51,13096132,Nasdaq Global Select
TDOC,Teladoc Health Inc.,5.555,-7.57,13017157,New York Stock Exchange
CSCO,Cisco Systems Inc.,78.285,1.48,12933244,Nasdaq Global Select
IOVA,Iovance Biotherapeutics Inc.,5.185,-4.16,12896081,NASDAQ Global Market
CDE,Coeur Mining Inc.,23.315,0.54,12703885,New York Stock Exchange
UAL,United Continental Holdings Inc.,91.66,-1.76,12605263,Nasdaq Global Select
VWO,Vanguard FTSE Emerging Markets,55.5,0.2,12543690,NYSE Arca
BABA,Alibaba Group Holding Limited,137.61,1.4,12389921,New York Stock Exchange
C,Citigroup Inc.,109.86,1.34,12376617,New York Stock Exchange
MGNX,MacroGenics Inc.,3.4001,40.5,12188216,Nasdaq Global Select
TTD,The Trade Desk Inc.,27.565,-3.52,12078689,NASDAQ Global Market
HL,Hecla Mining Company,22.13,1.7,11959057,New York Stock Exchange
CMCSA,Comcast Corporation Class A Common Stock,31.0899,0.48,11890500,Nasdaq Global Select
CNC,Centene Corporation,36.98,-12.82,11868689,New York Stock Exchange
AAOI,Applied Optoelectronics Inc.,120.99,7.93,11852287,NASDAQ Global Market
HPQ,HP Inc.,18.805,-0.56,11800652,New York Stock Exchange
ET,Energy Transfer LP,18.2999,-1.19,11789541,New York Stock Exchange
SMH,VanEck Vectors Semiconductor,397.37,0.77,11695547,NYSE Arca
DVN,Devon Energy Corporation,44.045,-0.98,11518325,New York Stock Exchange
PCG,Pacific Gas & Electric Co.,18.305,1.02,11443013,New York Stock Exchange
BNO,United States Brent Oil Fund LP ETV,42.13,-3.66,11409766,NYSE Arca
AXTI,AXT Inc,45.44,13.54,11384933,Nasdaq Global Select
AGNC,AGNC Investment Corp.,10.745,1.37,11366004,Nasdaq Global Select
ZSL,ProShares UltraShort Silver,17.549,2.75,11310943,NYSE Arca
KEY,KeyCorp,19.8877,0.9,11306348,New York Stock Exchange
PSLV,Sprott Physical Silver Trust ETV,28.84,-1.13,11288723,NYSE Arca
NKE,Nike Inc.,56.445,-0.45,11217398,New York Stock Exchange
CTRA,Contura Energy Inc.,30.655,-0.6,11105337,New York Stock Exchange
SCHB,Schwab U.S. Broad Market,26.1145,-0.02,10987737,NYSE Arca
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,348.005,-0.13,10826965,New York Stock Exchange
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,96.13,0.07,10806031,NASDAQ Global Market
EQNR,Equinor ASA,32.27,-1.01,10803107,New York Stock Exchange
ERIC,Ericsson,11.31,-2.96,10797954,Nasdaq Global Select
CRM,Salesforce.com Inc,194.86,-1.22,10637265,New York Stock Exchange
